name,Redshift
GRB080804972,2.2045
GRB080810549,3.3604
GRB080905705,0.1218
GRB080913735,6.7
GRB080916009,0.689
GRB080916406,0.6887
GRB080928628,3.5
GRB081008832,0.75
GRB081109293,5.5
GRB081121858,2.512
GRB081221681,2.26
GRB081222204,2.77
GRB090102122,1.547
GRB090113778,1.7493
GRB090323002,3.57
GRB090328401,0.734
GRB090423330,8.2
GRB090424592,0.544
GRB090516353,4.109
GRB090519881,3.85
GRB090618353,0.544
GRB090902462,1.822
GRB090926181,2.49
GRB090926914,2.49
GRB091003191,0.8969
GRB091020900,1.71
GRB091024372,1.092
GRB091127976,0.490
GRB091208410,1.0633
GRB100414097,1.368
GRB100615083,1.398
GRB100724029,1.288
GRB100728095,1.567
GRB100728439,1.567
GRB100814160,1.44
GRB100906576,1.727
GRB101213451,0.414
GRB101219686,0.718
GRB110106893,0.618
GRB110128073,2.339
GRB110213220,1.46
GRB110721200,0.382
GRB110731465,2.83
GRB110818860,3.3604
GRB111107035,2.893
GRB111228657,0.716
GRB120118709,2.943
GRB120119170,1.728
GRB120326056,1.798
GRB120624933,2.2045
GRB120711115,1.405
GRB120712571,4.1745
GRB120716712,2.48
GRB120729456,0.8049
GRB120811649,2.671
GRB120907017,0.97
GRB120909070,3.93
GRB121011469,2.0
GRB121128212,2.20
GRB121211574,1.023
GRB130215063,0.597
GRB130420313,1.297
GRB130427324,0.34
GRB130518580,2.49
GRB130528695,1.250
GRB130610133,2.092
GRB130612141,2.006
GRB130702004,0.145
GRB130925173,0.347
GRB131011741,1.874
GRB131014215,1.55
GRB131105087,1.686
GRB131108862,2.40
GRB131231198,0.642
GRB140206304,2.74
GRB140213807,1.20
GRB140304557,5.283
GRB140423356,3.26
GRB140506880,0.889
GRB140508128,1.027
GRB140512814,0.725
GRB140606133,0.384
GRB140620219,2.04
GRB140623224,3.6
GRB140703026,3.14
GRB140801792,1.32
GRB140808038,3.29
GRB140907672,1.21
GRB141004973,0.573
GRB141005217,1.398
GRB141028455,2.332
GRB141220252,1.319
GRB141221338,1.452
GRB141225959,0.915
GRB150120123,0.460
GRB150301818,1.5169
GRB150314205,1.758
GRB150403913,2.06
GRB150514774,0.807
GRB150727793,0.313
GRB150821406,0.755
GRB151027166,4.063
GRB151111356,3.5
GRB160509374,1.17
GRB160521839,2.6
GRB160623209,0.367
GRB160625945,1.406
GRB160629930,3.332
GRB160804065,0.736
GRB161014522,2.823
GRB161017745,2.013
GRB161117066,1.549
GRB161129300,0.645
GRB161228553,0.093
GRB170113420,1.968
GRB170214649,2.53
GRB170405777,3.510
GRB170607971,0.557
GRB170705115,2.010 
GRB170903534,0.886
GRB171010792,0.33
GRB171222684,1.678
GRB180205184,1.409
GRB180314030,1.445
GRB180620660,1.1175
GRB180703876,0.6678
GRB180720598,0.654
