t90_error,fluence_error,flux_1024_time,flux_64_error,flnc_band_ampl_neg_err,flnc_band_epeak,flnc_band_epeak_neg_err,flnc_band_alpha_pos_err,flnc_band_beta,flnc_band_beta_pos_err,flnc_spectrum_start,actual_1024ms_interval,actual_256ms_interval,actual_64ms_interval,back_interval_low_start,bcat_detector_mask,bcatalog,bii,duration_energy_high,duration_energy_low,error_radius,flnc_band_ergflux_error,flnc_band_redchisq,flnc_band_redfitstat,flnc_comp_epeak,flnc_comp_index_pos_err,flnc_comp_phtfluxb,flnc_comp_pivot,flnc_plaw_pivot,flnc_sbpl_brken,flnc_sbpl_brksc,flnc_sbpl_indx1,flnc_sbpl_indx1_pos_err,flnc_sbpl_indx2_neg_err,flnc_sbpl_phtflux_error,flnc_sbpl_pivot,flu_high,flu_low,fluence_batse_error,lii,pflx_band_alpha,pflx_band_ampl,pflx_band_beta,pflx_band_beta_pos_err,pflx_band_epeak_pos_err,pflx_band_redfitstat,pflx_comp_ampl_pos_err,pflx_comp_pivot,pflx_plaw_dof,pflx_plaw_index,pflx_plaw_index_neg_err,pflx_plaw_pivot,pflx_sbpl_brken_pos_err,pflx_sbpl_brksc,pflx_sbpl_indx1,pflx_sbpl_indx2,pflx_sbpl_pivot,scat_detector_mask,scatalog,t50,t50_error,t50_start
1.46,1.06e-07,1.024,0.7637,0.001496174,221.2021,22.9559,0.07985288,-1.904774,0.08532512,-1.024,1.024,0.256,0.064,-73.96,11100100.0,1,-48.3817,300,50,0.0,1.32e-08,1.091,2.732,309.751,0.05571896,1.113546,100,100,110.3743,0.3,-0.6975315,0.06619215,0.08502507,0.04582598,100,1000,10,5.5e-08,341.8589,-0.1713935,0.04003748,-2.756266,52.60099,20.65099,1.274,0.009185951,100,476,-1.44263,0.02901959,100,66.65121,0.3,-0.6225131,-3.890505,100,11100001.0,3,10.432,0.429,3.52
3.638,4.9e-08,23.68,1.1851,0.000237158,589.4979,85.8363,0.04453039,-5.981619,98.14269,-10.24,1.024,0.256,0.064,-55.62,11100100.0,3,-58.5062,300,50,0.0,1.16e-08,1.254,3.852,590.6446,0.04365408,0.6896225,100,100,326.9991,0.3,-1.149945,0.03871465,0.4099693,0.04179194,100,1000,10,2.26e-08,90.9581,-1.131952,0.01051729,-9.346875,17257.09,296.3021,1.186,0.001849369,100,478,-1.472634,0.03796208,100,104.2443,0.3,-1.147176,-2.166489,100,1100101.0,3,32.768,1.379,10.048
6.802,3.63e-08,0.896,1.1021,0.001549708,182.5805,51.53627,0.1736209,-2.316035,16.44725,-7.168,1.024,0.256,0.064,-22.08,1100100.0,1,-32.4861,300,50,0.0,2.33e-08,1.055,1.372,199.1405,0.1473446,0.5585938,100,100,8.660565,0.3,16.18503,111.2684,0.07710436,0.08662952,100,1000,10,2.07e-08,334.0189,-0.7568093,0.0104078,-8.282661,7447.424,80.43308,1.074,0.002832745,100,479,-1.548609,0.08610403,100,10311.89,0.3,-1.032479,-43.39294,100,1100101.0,3,78.336,1.056,0.768
7.281,8.67e-08,16.448,0.8835,0.005369762,101.5923,6.921906,0.1688145,-10.77175,9381.606,-1.024,1.024,0.256,0.064,-37.5,11000.0,1,-50.8594,300,50,5.9,2.62e-08,1.087,1.824,100.7041,0.2074496,0.5826935,100,100,311.4352,0.3,-0.8907402,0.1106108,120.8317,0.0610403,100,1000,10,4.71e-08,180.495,0.09426697,0.06527816,-10.39946,6846.914,11.66328,1.183,0.02748271,100,358,-1.532453,0.05842614,100,737.2037,0.3,-0.6638802,-19.88724,100,11001.0,3,10.24,3.238,10.24
0.81,7e-08,2.368,1.6469,0.000260606,667.6653,41.6875,0.0144937,-2.152307,0.07648563,-4.096,1.024,0.256,0.064,-40.1,10011000000000.0,1,-13.7641,300,50,0.0,1.59e-08,1.163,6.569,768.2076,0.0135231,2.043774,100,100,309.2031,0.3,-1.130424,0.01161087,0.05582428,0.03505227,100,1000,10,3.8e-08,270.1009,-0.7448255,0.05215057,-2.656804,27.98776,65.49155,0.952,0.003081225,100,360,-1.398753,0.01392043,100,48.19643,0.3,-0.8475866,-2.348593,100,11000000010.0,3,32.0,0.724,6.656
7.173,8.18e-08,2.24,1.3541,0.00283446,105.7332,20.44881,0.1062993,-1.774458,0.04619229,-1.024,1.024,0.256,0.064,-46.25,1100100.0,1,-50.5129,300,50,0.0,1.02e-08,1.133,5.577,247.8299,0.04694128,0.8026056,100,100,32.48017,0.3,-0.6533552,0.1981302,0.04410303,0.04118964,100,1000,10,4.63e-08,333.6069,-0.4061177,0.0306892,-4.882297,21.28355,31.83066,1.112,0.005333513,100,359,-1.411103,0.02561331,100,58.4622,0.3,-0.601447,-2.664408,100,1100001.0,3,18.432,0.81,2.56
4.007,3.76e-08,-0.64,1.272,0.01506538,49.45244,167.903,0.3106624,-1.801257,0.1998826,-1.024,1.024,0.256,0.064,-17.5,10011000000000.0,1,-26.296,300,50,0.0,1.29e-08,0.964,1.274,1077.127,0.08819401,0.3443911,100,100,7.858801,0.3,-0.3565579,28.99389,0.06338644,0.08693337,100,1000,10,1.61e-08,263.8257,-1.113799,0.01307554,-3.295795,5.077431,20.26472,1.202,0.006091827,100,482,-1.793061,0.09019697,100,46.02563,0.3,19.07068,-1.98953,100,10011000010.0,3,8.704,0.81,-0.256
2.36,5.35e-08,15.424,1.1979,0.001000152,166.9659,30.49027,0.1084768,-2.090436,0.3151507,-1.024,1.024,0.256,0.064,-25.62,11100000000000.0,3,-21.114,300,50,0.0,1.19e-08,0.955,1.834,229.7094,0.07245028,0.5049808,100,100,86.82967,0.3,-1.122151,0.1017811,0.2465627,0.04079478,100,1000,10,2.97e-08,338.1594,-0.6749601,0.01673847,-5.00431,58.93766,79.65849,1.117,0.006111575,100,361,-1.546947,0.05573511,100,41.75041,0.3,-0.7520159,-2.703835,100,1100000000000.0,3,107.266,1.619,9.216
5.221,5.87e-08,13.632,1.5921,0.04970142,28.61046,10.98278,0.2730726,-1.648899,0.05173826,-5.12,1.024,0.256,0.064,-55.73,11100000000000.0,1,-48.9361,300,50,0.0,9.33e-09,1.273,4.12,4653120.0,0.006666422,0.4475757,100,100,4.557489,0.3,16.7215,507.0155,0.04075328,0.0569634,100,1000,10,2.8e-08,339.0389,-0.1784855,0.1702659,-1.554734,0.3818237,185.2781,1.222,0.000282643,100,477,-1.545653,0.09784794,100,12976.5,0.3,-1.613624,-0.6018181,100,100000000000.0,3,17.408,2.29,2.304
8.51,2.2e-07,15.168,1.6623,0.005451519,160.9417,14.44806,0.1147791,-2.095725,0.09481311,0.0,1.024,0.256,0.064,-48.75,1100.0,1,-29.9796,300,50,0.0,2.06e-08,1.083,1.404,245.4058,0.06352484,1.988766,100,100,94.9024,0.3,-0.6794685,0.1076028,0.1146576,0.1199446,100,1000,10,1.2e-07,269.5008,-0.2091773,0.05516548,-1.765097,0.1209986,45.42302,0.953,0.004528962,100,357,-1.441248,0.02635419,100,31.08517,0.3,-0.372953,-1.778261,100,1101.0,3,9.472,1.145,6.656
