t90_error,fluence_error,flux_1024_time,flux_64_error,flnc_band_ampl_neg_err,flnc_band_epeak,flnc_band_epeak_neg_err,flnc_band_alpha_pos_err,flnc_band_beta,flnc_band_beta_pos_err,flnc_spectrum_start,actual_1024ms_interval,actual_256ms_interval,actual_64ms_interval,back_interval_low_start,bcat_detector_mask,bcatalog,bii,duration_energy_high,duration_energy_low,error_radius,flnc_band_ergflux_error,flnc_band_redchisq,flnc_band_redfitstat,flnc_comp_epeak,flnc_comp_index_pos_err,flnc_comp_phtfluxb,flnc_comp_pivot,flnc_plaw_pivot,flnc_sbpl_brken,flnc_sbpl_brksc,flnc_sbpl_indx1,flnc_sbpl_indx1_pos_err,flnc_sbpl_indx2_neg_err,flnc_sbpl_phtflux_error,flnc_sbpl_pivot,flu_high,flu_low,fluence_batse_error,lii,pflx_band_alpha,pflx_band_ampl,pflx_band_beta,pflx_band_beta_pos_err,pflx_band_epeak_pos_err,pflx_band_redfitstat,pflx_comp_ampl_pos_err,pflx_comp_pivot,pflx_plaw_dof,pflx_plaw_index,pflx_plaw_index_neg_err,pflx_plaw_pivot,pflx_sbpl_brken_pos_err,pflx_sbpl_brksc,pflx_sbpl_indx1,pflx_sbpl_indx2,pflx_sbpl_pivot,scat_detector_mask,scatalog,t50,t50_error,t50_start
0.41,8.69e-08,20.864,1.3607,0.00287129,86.91359,1.32753,0.02245021,-3.67453,0.4704061,-1.024,1.024,0.256,0.064,-39.71,1100000000000.0,1,-86.2701,300,50,0.0,1.13e-08,1.629,2.445,88.40163,0.02037936,2.693491,100,100,83.92951,0.3,-1.097267,0.02526796,0.1141236,0.05015804,100,1000,10,3.72e-08,168.7858,-0.3248393,0.3054059,-3.883302,6.845659,4.384186,1.217,0.02821922,100,362,-1.623751,0.01266587,100,13.80341,0.3,-0.7420732,-3.884655,100,1100000000000.0,3,7.488,0.143,19.392
2.318,9.57e-08,3.264,1.0016,0.001873676,147.2107,8.431061,0.04478401,-2.299758,0.118835,-1.024,1.024,0.256,0.064,-49.58,11100000000000.0,1,-79.041,300,50,0.0,1.69e-08,1.153,1.426,177.8716,0.03566343,1.785448,100,100,101.8562,0.3,-1.041738,0.04013825,0.1359229,0.05562907,100,1000,10,5.26e-08,254.822,-0.7261735,0.07214334,-2.612371,9.815059,16.07765,1.077,0.006019067,100,482,-1.526835,0.01375163,100,26.68427,0.3,-0.9616292,-2.736529,100,11100000000000.0,3,4.672,0.231,2.368
0.81,6.1e-08,14.336,0.9669,0.000322085,424.7799,15.40781,0.01870877,-5.952828,38.23616,-1.792,1.024,0.256,0.064,-30.31,11100.0,1,34.6186,300,50,0.0,1.45e-08,1.128,3.597,425.0112,0.01866591,1.946708,100,100,1246.277,0.3,-1.114256,0.01261482,53.98491,0.0418273,100,1000,10,3.02e-08,189.8576,-0.2558957,0.05417674,-8.175202,387.2775,22.28363,1.081,0.00333507,100,478,-1.338027,0.01339138,100,56.91351,0.3,-0.5347022,-3.467278,100,11101.0,3,9.728,0.572,6.4
3.238,4.83e-08,0.004,0.7141,0.001674827,142.6679,30.7755,0.1420158,-2.065165,0.5151749,-2.048,1.02,0.256,0.064,-38.25,11100000000000.0,1,-26.7753,300,50,0.0,2.48e-08,1.009,1.136,183.0634,0.1176906,0.6873139,100,100,113.108,0.3,-1.345665,0.09150219,0.933846,0.09729873,100,1000,10,2.6e-08,140.8798,-0.5940353,0.02026041,-4.155704,12.52263,33.81525,1.002,0.004709909,100,482,-1.483142,0.0361588,100,158.5702,0.3,-0.8866852,-3.921268,100,11000000000000.0,3,6.141,1.446,0.004
0.572,4.16e-08,140.866,1.2322,0.000183785,453.6466,23.59637,0.0114516,-2.354405,0.1470437,-3.072,1.024,0.256,0.064,-43.33,11011100.0,3,79.7749,300,50,0.0,7.73e-09,1.23,5.805,481.4235,0.00947547,1.51161,100,100,215.3397,0.3,-1.240821,0.009443641,0.05302739,0.02003038,100,1000,10,2.61e-08,291.2262,-0.5479284,0.05881261,-6.696282,137.2364,29.52579,1.003,0.003485099,100,478,-1.364917,0.0101552,100,46.37161,0.3,-0.7196954,-2.672363,100,1010101.0,3,46.081,0.923,33.792
1.81,6.53e-08,23.68,1.4978,0.000195094,650.5475,43.76758,0.01657152,-2.389771,0.2323299,-4.096,1.024,0.256,0.064,-49.37,10011100000.0,1,-26.2422,300,50,0.0,1.19e-08,1.184,2.742,711.3394,0.01570547,1.407844,100,100,383.2463,0.3,-1.161994,0.01335847,0.1588664,0.03002175,100,1000,10,3.81e-08,248.7817,-0.7728204,0.06094623,-4.456855,7.081314,31.01962,1.097,0.002630711,100,481,-1.394194,0.009151101,100,56.34021,0.3,-0.9071401,-2.680124,100,11100001.0,3,14.592,0.572,12.288
2.415,7.15e-08,-2.048,1.2238,0.02172057,66.27096,10.84654,0.364821,-2.620145,1.286652,-4.096,1.024,0.256,0.064,-17.25,100000000000.0,1,48.4649,300,50,0.0,2.24e-08,1.097,1.234,71.49246,0.3340769,0.3751739,100,100,62.46205,0.3,-0.9612254,0.2869128,3.870173,0.1070053,100,1000,10,4.05e-08,215.909,-0.6604382,0.02072237,-5.117188,64.08843,23.63825,1.177,0.01370501,100,480,-1.751379,0.1128533,100,833.4024,0.3,-1.149644,-14.0198,100,100000000000.0,3,3.072,1.28,-3.584
0.264,3.86e-08,0.512,2.0411,0.001493793,159.9995,3.976883,0.01625371,-2.762827,0.1703999,-1.024,1.024,0.256,0.064,-15.25,11100100.0,1,79.2139,300,50,0.0,1.64e-08,1.333,1.914,170.67,0.01310635,4.567066,100,100,135.2276,0.3,-1.198791,0.01265883,0.08228326,0.05947475,100,1000,10,2.02e-08,285.4883,-0.8286781,0.4090146,-3.035744,0.2433968,6.391342,1.222,0.01066571,100,479,-1.572755,0.004609108,100,9.819702,0.3,-1.003039,-2.744545,100,1100101.0,3,3.072,0.091,1.28
2.064,7.91e-08,83.905,1.5087,0.000379384,148.0352,19.80286,0.04396391,-2.459627,0.8405807,-59.393,1.024,0.256,0.064,-122.5,10010000000000.0,3,24.2637,300,50,0.0,8.04e-09,1.121,1.639,159.3582,0.03817356,0.5277747,100,100,116.0842,0.3,-1.546158,0.0407387,0.3612518,0.0291595,100,1000,10,3.97e-08,241.8811,-0.6510778,0.03864037,-1.804452,0.1747119,33.66692,1.083,0.00246955,100,361,-1.57287,0.05300164,100,19.94988,0.3,-0.8099962,-1.833909,100,10010000000000.0,3,47.617,1.145,-2.048
5.177,6.12e-08,0.128,0.9647,0.000168073,1613.392,541.911,0.1037057,-5.9187,122.7514,-2.048,1.024,0.256,0.064,-41.88,11100000000000.0,1,34.512,300,50,0.0,2e-08,1.193,1.953,1584.579,0.08649468,0.4116059,100,100,918.7815,0.3,-0.9824174,0.08723725,1.871236,0.05841766,100,1000,10,2.24e-08,233.297,-1.029583,0.003339906,-5.549063,304.8527,1177.48,1.074,0.000532131,100,480,-1.439583,0.102182,100,13461.25,0.3,-1.083365,-5.775391,100,11000000000000.0,3,26.625,1.145,3.776
1.086,4.29e-07,63.361,4.7542,0.001287259,149.0404,3.286453,0.01307595,-2.239346,0.0200696,-1.024,1.024,0.256,0.064,-34.38,1000000000.0,1,24.3262,300,50,0.0013,9.59e-09,1.315,10.29,209.9314,0.008258939,4.962845,100,100,105.8194,0.3,-1.270219,0.0108757,0.02186799,0.05500602,100,1000,10,2.33e-07,110.3814,-0.9379995,0.2241543,-2.873826,0.3042238,24.49936,1.391,0.007026166,100,238,-1.564034,0.006835461,100,30.51137,0.3,-1.029678,-2.502242,100,1000000010.0,3,23.808,0.572,62.465
0.286,3.17e-07,9.088,1.9187,0.000262298,1055.44,16.26562,0.004172921,-9.721683,410.4855,-1.024,1.024,0.256,0.064,-39.38,11000000000000.0,1,26.9107,300,50,0.0005,1.85e-08,3.09,5.098,1055.118,0.003988266,9.959126,100,100,1172.791,0.3,-1.091163,0.003113627,0.4580831,0.06106821,100,1000,10,1.77e-07,51.4954,-1.18509,0.1815675,-8.800798,702.0639,87.24072,3.231,0.001641601,100,482,-1.418302,0.004386663,100,6677.162,0.3,-1.225245,-37.6418,100,11000000000000.0,3,9.024,0.181,8.896
0.286,3.41e-07,3.712,2.0105,0.000742689,333.8166,5.83902,0.008618772,-2.377665,0.04557943,-7.168,1.024,0.256,0.064,-32.5,11011100000.0,1,-48.9886,300,50,0.0004,1.5e-08,1.472,11.364,375.4192,0.006705522,7.43794,100,100,198.4888,0.3,-0.9772221,0.006936371,0.02831459,0.0501287,100,1000,10,1.79e-07,314.6944,-0.4596218,0.3745367,-2.684242,0.1363952,10.85364,1.242,0.006629467,100,480,-1.388727,0.002864361,100,10.51613,0.3,-0.6307948,-2.499637,100,10011000001.0,3,6.528,0.143,4.224
1.557,2.77e-08,18.944,1.3302,0.01366996,82.33972,2.560898,0.1057038,-3.342915,0.4482341,-1.024,1.024,0.256,0.064,-56.87,1100100.0,3,-59.7655,300,50,0.05,8.64e-09,1.1,3.25,84.7975,0.09437463,0.7644325,100,100,79.83392,0.3,-0.3709571,0.1043442,0.5036953,0.03875788,100,1000,10,1.51e-08,244.6357,0.01030408,0.08217051,-5.594602,28.18053,12.60316,1.244,0.02910239,100,479,-1.524349,0.04343081,100,55.63544,0.3,-0.5663506,-4.723025,100,1100101.0,3,17.408,0.572,13.824
0.362,7.77e-08,18.496,2.214,0.000654642,370.2101,26.60532,0.0227679,-2.214995,0.14803,-1.024,1.024,0.256,0.064,-18.54,1010000.0,1,40.0551,300,50,0.0005,1.69e-08,1.084,1.784,432.2062,0.01813138,2.592861,100,100,199.4853,0.3,-1.164757,0.02003992,0.1011286,0.06039331,100,1000,10,3.73e-08,59.3545,-0.6020429,0.1424418,-2.329356,0.1460557,27.09351,1.083,0.00406795,100,360,-1.402993,0.006373882,100,21.93674,0.3,-0.7508456,-2.293074,100,10010000001.0,3,13.312,0.724,5.696
7.973,1.5e-07,2.432,1.2673,0.001057364,228.3427,48.81152,0.08074677,-2.454068,37.74891,-6.144,1.024,0.256,0.064,-52.08,100100000000.0,1,62.8405,300,50,0.0,1.75e-08,0.995,1.912,243.8384,0.05278587,1.025262,100,100,154.5147,0.3,-1.352071,0.07995796,2.399004,0.07805709,100,1000,10,8.08e-08,146.9007,-0.9114656,0.02562717,-1.673166,0.1294184,101.9246,1.044,0.001624498,100,361,-1.461765,0.02759409,100,48.32836,0.3,-1.008064,-1.682897,100,100100000000.0,3,6.912,0.668,1.664
5.221,6.01e-08,2.24,1.1645,0.000454883,1796.27,923.7052,0.08006536,-6.127373,243.9823,-3.84,1.024,0.256,0.064,-53.12,1100100.0,1,-1.3157,300,50,0.0017,3.27e-08,1.106,1.526,1767.424,0.06713092,1.00928,100,100,7464.248,0.3,-1.407553,0.05742584,284.2161,0.237917,100,1000,10,3.47e-08,105.3281,-1.393262,0.008531023,-5.744062,532.4067,3162.362,1.03,0.001479541,100,237,-1.655011,0.1016508,100,25695.88,0.3,-1.130533,-33.97024,100,101.0,3,39.937,1.056,4.352
0.571,3.7e-08,0.256,2.2148,0.01360969,35.45828,1.550453,0.06617808,-2.215838,0.02008772,-1.024,1.024,0.256,0.064,-14.58,11010000.0,1,-66.7379,300,50,0.0002,1.26e-08,1.179,1.498,58.47786,0.01829934,2.944908,100,100,22.27065,0.3,-1.292973,0.1013982,0.02316141,0.0874287,100,1000,10,2e-08,197.3978,-0.5075393,1.176863,-2.273212,0.03618407,2.616806,1.103,0.01490998,100,480,-1.816213,0.007676125,100,2.709923,0.3,-0.7429718,-2.327791,100,11010001.0,3,5.12,0.362,0.512
5.018,1.9e-07,8.192,1.4282,0.02492422,44.72621,12.75528,0.2236308,-1.922911,0.0491085,-1.024,1.024,0.256,0.064,-65.0,10000000000000.0,1,-43.1502,300,50,0.0006,1.36e-08,1.046,1.72,124.4245,0.0631845,0.9349596,100,100,20.0706,0.3,-0.564132,0.3917714,0.05659258,0.06831387,100,1000,10,9.86e-08,144.846,-0.9538164,0.1045819,-2.203579,0.1524439,15.36241,0.965,0.006842405,100,358,-1.615718,0.01452863,100,17.2085,0.3,-1.139898,-2.288359,100,11001.0,3,7.168,0.63,1.856
2.073,1.86e-07,23.296,1.0478,0.000283241,663.5215,15.36853,0.01384479,-3.533847,1.24502,-1.024,1.024,0.256,0.064,-71.88,11010100.0,1,71.5499,300,50,0.0005,1.86e-08,1.18,2.636,668.1337,0.013713,3.533516,100,100,509.6308,0.3,-0.7862302,0.01155305,0.1840701,0.04689468,100,1000,10,1.04e-07,300.5966,-0.7269253,0.07637714,-2.530197,0.6479771,39.64584,1.148,0.002814725,100,478,-1.367016,0.009421468,100,44.44025,0.3,-0.8688058,-2.449215,100,1010101.0,3,13.248,0.272,8.192
0.979,8.2e-08,9.728,0.957,0.008129841,53.54562,7.504539,0.1559606,-1.803076,0.03070354,-1.024,1.024,0.256,0.064,-36.98,11100000.0,1,40.9827,300,50,0.001,8.89e-09,1.192,3.593,143.197,0.03780258,0.8899704,100,100,22.61667,0.3,-0.9950609,0.186731,0.03820527,0.03997017,100,1000,10,4.43e-08,283.2378,0.3110562,0.8019902,-2.124489,0.09676313,5.466602,1.098,0.01335194,100,480,-1.691799,0.0284375,100,6.555935,0.3,-0.2692315,-2.258521,100,11100001.0,3,26.368,0.689,2.944
3.238,5.68e-07,62.273,1.251,0.000242582,358.7506,9.718353,0.009797514,-1.96599,0.01980007,-62.465,1.024,0.256,0.064,-98.96,11110100000000.0,2,30.3179,300,50,0.88,4.77e-09,1.508,3.154,483.104,0.007363617,2.04612,100,100,163.7943,0.3,-0.9384904,0.008346736,0.01561248,0.01522004,100,1000,10,2.75e-07,138.6601,-0.66979,0.08874862,-2.001065,0.07876444,45.51077,1.007,0.002555139,100,482,-1.333844,0.007872224,100,21.35313,0.3,-0.7606325,-1.951658,100,11100000000000.0,3,47.105,2.29,26.624
2.896,5.76e-07,80.129,1.1953,0.000559257,253.91,6.568649,0.0215106,-2.542296,0.09954238,-4.096,1.024,0.256,0.064,-98.75,11100100000000.0,2,-19.2164,300,50,0.002,6.96e-09,1.439,3.344,281.6567,0.01668966,1.74099,100,100,165.6423,0.3,-0.7166564,0.01657867,0.05686665,0.02116703,100,1000,10,3.14e-07,220.6629,-0.3265902,0.05411721,-2.387089,0.3161821,40.79742,1.007,0.003492057,100,362,-1.353409,0.01170862,100,33.46555,0.3,-0.5142261,-2.32809,100,11000000000000.0,3,61.953,1.448,61.441
1.619,9.47e-08,6.784,1.4096,0.003610667,127.6894,8.730057,0.100126,-2.436857,0.2554705,-1.152,1.024,0.256,0.064,-62.5,1100100.0,2,-77.2756,300,50,0.001,1.39e-08,1.065,1.679,146.6776,0.07159084,0.8711983,100,100,91.99017,0.3,-0.5737486,0.08340275,0.2308414,0.03895646,100,1000,10,5.57e-08,169.0724,0.9281802,0.1949171,-1.904449,0.3365029,28.12781,1.035,0.04415056,100,358,-1.345889,0.02746475,100,17.63856,0.3,0.9232176,-1.94264,100,1100001.0,3,72.193,1.619,5.696
2.828,5.79e-08,10.176,1.8518,0.010388,74.91478,24.26582,0.2344325,-1.860762,0.1001451,0.0,1.024,0.256,0.064,-31.77,1100100.0,2,-6.1427,300,50,0.0004,1.27e-08,1.223,4.816,220.4735,0.03071964,1.277343,100,100,31.25035,0.3,-0.968198,0.1371164,0.0392009,0.05266477,100,1000,10,3.21e-08,131.8389,-0.5588222,0.1200494,-2.170495,0.2014999,18.01997,1.036,0.01014276,100,237,-1.538121,0.01738977,100,20.81462,0.3,-0.798555,-2.246413,100,101.0,3,18.944,1.305,5.12
1.95,1.05e-07,2.944,2.0444,0.000657935,348.7449,33.84683,0.0642733,-2.374166,0.7770982,-1.024,1.024,0.256,0.064,-35.83,100100000000.0,2,45.8669,300,50,0.0004,1.95e-08,1.066,1.982,342.9536,0.06418252,1.143835,100,100,0.2572105,0.3,-1.397699,14995.23,0.01466644,0.09878868,100,1000,10,5.53e-08,37.1581,-0.661179,0.01820395,-5.795805,177.2028,60.86762,1.166,0.003662017,100,362,-1.501524,0.04396343,100,1549.793,0.3,-0.9215332,-1.502758,100,100100000000.0,3,17.408,1.28,6.144
1.775,4.89e-08,5.632,0.8428,0.2156694,63.30679,16.1149,0.4932169,-2.390578,0.2761364,-4.096,1.024,0.256,0.064,-48.44,11011100000.0,2,-82.5425,300,50,0.0016,1.14e-08,1.348,2.271,82.5993,0.1957214,0.4365762,100,100,30.37647,0.3,1.34011,0.9151416,0.1717844,0.05331427,100,1000,10,3.06e-08,306.9251,0.14301,0.05691337,-5.131265,23.12548,51.8087,1.208,0.0524441,100,483,-1.536668,0.07006931,100,25.04564,0.3,1.263749,-2.320906,100,10011000001.0,3,21.824,2.199,2.624
3.612,5.62e-08,16.128,1.2174,0.001601704,131.0607,14.88098,0.1369559,-8.148193,3141.393,-2.048,1.024,0.256,0.064,-48.33,1100.0,2,40.4775,300,50,0.05,1.39e-08,0.933,1.227,130.7056,0.1373889,0.5430225,100,100,459.7519,0.3,-1.261378,0.09178253,210.0658,0.07458121,100,1000,10,2.98e-08,172.9126,-1.253311,0.005405246,-11.93554,1174835.0,136.8437,1.081,0.001569333,100,481,-1.548055,0.08155167,100,5417.795,0.3,-1.297103,-10.17514,100,11101.0,3,11.648,0.604,-1.024
1.639,5.16e-08,18.176,2.3161,0.00073743,112.5573,12.03538,0.04811728,-4.87,0.0,-3.072,1.024,0.256,0.064,-32.5,11000000000.0,2,-8.993,300,50,0.05,1.24e-08,1.107,3.227,112.5709,0.04804337,0.9039272,100,100,54.69367,0.3,-1.533694,0.0626663,0.1169179,0.0605918,100,1000,10,2.73e-08,142.2984,-1.160509,0.07469107,-13.93125,2281781.0,7.877335,1.107,0.01171774,100,363,-1.808892,0.02322328,100,12.88988,0.3,-1.138624,-2.493523,100,11000000010.0,3,6.4,0.572,14.592
0.572,3.85e-08,1.984,1.5494,0.000583816,465.1933,38.65894,0.02180946,-1.779303,0.02873743,-1.024,1.024,0.256,0.064,-30.0,11010100.0,2,-54.4987,300,50,0.446,1.35e-08,1.268,2.635,1070.705,0.01663017,2.413038,100,100,169.2213,0.3,-1.094797,0.01770818,0.02520978,0.04581156,100,1000,10,2.09e-08,3.6174,-0.6438812,0.1617829,-1.932132,0.04540491,18.39342,1.271,0.003525674,100,481,-1.438641,0.006553888,100,10.13901,0.3,-0.7989069,-1.953728,100,11010001.0,3,5.376,0.572,1.344
0.572,5.7e-08,0.128,2.1118,0.001457389,322.211,16.91763,0.03116769,-2.43649,0.2741058,-1.024,1.024,0.256,0.064,-29.58,11010000000000.0,2,-10.7021,300,50,0.0001,2.99e-08,1.231,1.811,346.9114,0.02764952,4.406756,100,100,286.996,0.3,-1.043617,0.02269328,0.4496634,0.1259576,100,1000,10,2.91e-08,6.2233,-0.9646456,0.09411904,-4.380129,6.48079,12.88153,1.032,0.00855054,100,364,-1.658591,0.01481009,100,82.95204,0.3,-1.212525,-4.058342,100,10010000000000.0,3,4.352,0.362,1.344
3.916,3.31e-08,22.08,1.5022,0.001105078,184.7757,50.97723,0.1357058,-1.804653,0.1685937,-7.168,1.024,0.256,0.064,-55.73,1100100.0,2,-39.1072,300,50,0.0004,1.09e-08,1.055,1.619,314.9519,0.07811105,0.5188816,100,100,85.02413,0.3,-1.171958,0.09969413,0.1633906,0.05105486,100,1000,10,1.67e-08,330.7082,-0.4446562,0.0236268,-1.715298,0.3400692,93.08116,0.994,0.001969131,100,480,-1.454143,0.05515587,100,23.14476,0.3,4.23918,-1.652785,100,1100101.0,3,28.928,1.379,1.792
0.923,3.48e-08,0.96,1.88,0.001100258,213.8753,97.11063,0.1739315,-2.0,0.0,-1.024,1.024,0.256,0.064,-19.12,1000100000.0,2,-15.0316,300,50,0.0002,2.09e-08,1.121,1.309,263.7442,0.1525321,0.5414829,100,100,533.7058,0.3,-1.411757,0.08929884,29.13432,0.1233799,100,1000,10,1.98e-08,281.2891,-0.6616179,0.01581024,-2.546059,1759.072,76.20303,0.978,0.01073789,100,361,-1.636391,0.09577513,100,1093.307,0.3,-1.171,-4.97175,100,1000100001.0,3,5.376,1.086,0.512
2.111,5.79e-08,7.36,1.7357,0.002074656,26.54853,1.367109,0.08629835,-2.44561,0.08506799,-62.721,1.024,0.256,0.064,-79.17,11100000.0,2,49.7482,300,50,0.001,4.84e-09,1.238,2.465,67176.51,0.01614189,0.5282637,100,100,26796.69,0.3,-2.126892,0.0113411,26.77319,0.03641909,100,1000,10,3.1e-08,216.3249,-1.373677,0.05301775,-2.722929,0.7453482,12.13056,1.165,0.005650789,100,480,-1.82437,0.02041364,100,288601.3,0.3,-1.817465,-13.26185,100,1100101.0,3,46.337,0.724,1.024
